epcpwm,epcpressuresetpoint,load,Line,EPC_Press,ISS_Speed,Slippage,tcc,rpm,CurrentGear,CurrentSpeed
50,101,1.90,157,92,0.00,0.00,0,1148,3,11.82
47,101,1.90,156,96,0.00,0.00,0,1141,3,5.85
64,101,1.90,164,107,0.00,0.00,0,1077,3,5.85
43,101,4.40,157,95,0.00,0.00,0,1106,2,4.46
61,104,4.90,160,108,0.00,0.00,0,1139,2,1.09
40,104,9.30,158,96,0.00,0.00,0,1301,2,0.00
57,109,11.90,188,111,0.00,0.00,0,1775,1,0.00
32,111,12.80,161,99,0.00,0.00,0,1845,1,3.16
37,50,14.70,66,30,0.00,0.00,0,1929,1,13.07
137,50,14.90,99,55,0.00,0.00,0,1951,2,14.28
81,50,14.70,56,30,0.00,0.00,0,1976,2,11.31
0,114,14.70,55,30,0.00,0.00,0,2006,3,17.19
0,114,14.80,200,124,0.00,0.00,0,2010,3,17.77
0,114,14.70,184,117,0.00,0.00,0,2046,3,18.02
0,114,14.80,202,118,0.00,0.00,0,2061,3,19.91
27,114,15.10,188,117,0.00,0.00,0,1696,3,19.06
31,115,15.70,182,116,0.00,0.00,0,1627,3,16.90
29,116,16.10,191,117,0.00,0.00,0,1683,3,20.08
28,116,16.20,185,114,0.00,0.00,0,1726,3,20.19
30,116,16.20,189,117,0.00,0.00,0,1730,3,19.99
27,116,16.20,183,115,0.00,0.00,0,1742,3,20.75
30,116,16.30,179,116,0.00,0.00,0,1736,3,20.81
30,116,16.30,188,116,0.00,0.00,0,1738,3,21.06
31,116,16.20,181,116,0.00,0.00,0,1750,3,20.97
29,116,16.20,181,116,0.00,0.00,0,1748,3,21.88
29,116,16.10,190,116,0.00,0.00,0,1746,3,21.97
28,116,16.20,196,116,0.00,0.00,0,1746,3,22.07
30,116,16.20,183,114,0.00,0.00,0,1751,3,22.05
30,116,16.20,188,116,0.00,0.00,0,1753,3,21.97
27,116,16.20,185,115,0.00,0.00,0,1756,3,22.04
30,116,16.20,182,116,0.00,0.00,0,1763,3,22.97
30,116,16.20,182,116,0.00,0.00,0,1766,3,23.00
29,116,16.20,194,116,0.00,0.00,0,1765,3,23.04
31,116,16.30,195,116,0.00,0.00,0,1769,3,23.07
27,116,16.40,180,115,0.00,0.00,0,1775,3,22.85
29,116,16.20,190,115,0.00,0.00,0,1775,3,23.23
28,116,16.20,185,115,0.00,0.00,0,1763,3,23.15
31,116,16.30,193,116,0.00,0.00,0,1767,3,22.80
28,116,16.10,188,117,0.00,0.00,0,1761,3,22.87
31,115,15.60,186,117,0.00,0.00,0,1757,3,22.97
32,115,15.70,190,115,0.00,0.00,0,1743,3,22.97
27,115,15.70,182,113,0.00,0.00,0,1736,3,22.97
36,115,15.20,188,114,0.00,0.00,0,1738,3,22.22
28,115,15.10,189,116,0.00,0.00,0,1719,3,21.86
34,114,14.90,185,114,0.00,0.00,0,1710,3,22.15
36,114,14.70,194,116,0.00,0.00,0,1698,3,21.96
34,114,14.70,183,113,0.00,0.00,0,1698,3,22.04
41,114,14.50,191,113,0.00,0.00,0,1688,3,21.97
32,114,14.50,190,112,0.00,0.00,0,1678,3,21.15
35,114,14.40,185,113,0.00,0.00,0,1671,3,20.75
40,113,13.70,177,116,0.00,0.00,0,1672,3,21.09
29,113,13.40,179,109,0.00,0.00,0,1648,3,20.90
43,113,13.30,180,111,0.00,0.00,0,1622,3,21.12
40,113,13.40,181,114,0.00,0.00,0,1625,3,20.92
27,113,13.40,181,110,0.00,0.00,0,1627,3,21.16
41,113,13.30,176,109,0.00,0.00,0,1621,3,21.14
48,113,13.40,185,116,0.00,0.00,0,1624,3,20.81
30,113,13.30,210,118,0.00,0.00,0,1623,3,21.09
33,113,13.30,198,117,0.00,0.00,0,1606,3,20.22
29,113,13.80,186,115,0.00,0.00,0,1608,3,20.21
25,115,15.00,179,109,0.00,0.00,0,1640,3,20.69
37,115,15.40,179,113,0.00,0.00,0,1687,3,20.64
40,115,15.90,181,118,0.00,0.00,0,1709,3,21.09
25,116,16.70,198,118,0.00,0.00,0,1736,3,20.77
22,117,17.00,184,115,0.00,0.00,0,1764,3,21.13
22,117,17.30,199,117,0.00,0.00,0,1785,3,21.13
19,118,18.20,192,118,0.00,0.00,0,1793,3,22.19
8,119,19.30,189,119,0.00,0.00,0,1839,3,22.24
0,119,19.50,187,118,0.00,0.00,0,1884,3,22.90
0,119,19.70,192,118,0.00,0.00,0,1900,3,23.14
0,119,19.80,189,118,0.00,0.00,0,1915,3,23.14
0,120,20.00,191,118,0.00,0.00,0,1925,3,23.92
0,119,19.90,197,118,0.00,0.00,0,1925,3,24.26
0,119,19.90,198,118,0.00,0.00,0,1929,3,24.88
0,118,18.30,188,118,0.00,0.00,0,1941,3,25.07
0,115,15.60,184,118,0.00,0.00,0,1862,3,26.00
0,114,14.20,191,118,0.00,0.00,0,1809,3,25.83
42,112,12.70,183,107,0.00,0.00,0,1773,3,26.22
63,111,11.30,178,117,0.00,0.00,0,1748,3,26.85
49,110,10.60,203,127,0.00,0.00,0,1713,3,27.05
57,110,10.50,200,124,0.00,0.00,0,1692,3,27.15
59,110,10.50,199,128,0.00,0.00,0,1696,3,26.83
52,109,9.70,213,128,0.00,0.00,0,1681,3,26.81
49,107,7.60,213,125,0.00,0.00,0,1656,3,27.10
67,107,7.20,163,111,0.00,0.00,0,1641,3,27.03
66,107,7.20,191,129,0.00,0.00,0,1643,3,26.95
61,107,7.30,172,115,0.00,0.00,0,1648,3,26.82
47,107,7.20,214,128,0.00,0.00,0,1652,3,27.04
84,107,7.10,176,126,0.00,0.00,0,1666,3,27.04
25,106,6.80,156,89,0.00,0.00,0,1660,3,26.80
42,106,6.60,141,80,0.00,0.00,0,1646,3,27.10
12,105,5.60,158,85,0.00,0.00,0,1644,3,27.08
95,104,4.70,150,120,0.00,0.00,0,1624,3,26.75
80,104,4.30,157,109,0.00,0.00,0,1599,3,27.01
0,104,4.20,145,117,0.00,0.00,0,1584,3,27.05
33,104,4.30,133,79,0.00,0.00,0,1568,3,26.96
0,104,4.20,121,68,0.00,0.00,0,1581,3,26.95
34,104,4.30,188,118,0.00,0.00,0,1576,3,27.04
77,104,4.30,190,122,0.00,0.00,0,1579,3,27.21
7,104,4.20,184,118,0.00,0.00,0,1576,3,26.96
43,104,4.00,202,125,0.00,0.00,0,1567,3,26.93
92,104,4.10,169,117,0.00,0.00,0,1555,3,26.90
14,104,4.00,147,84,0.00,0.00,0,1569,3,26.90
54,104,4.10,127,82,0.00,0.00,0,1550,3,26.90
5,104,4.10,123,72,0.00,0.00,0,1559,3,26.90
62,104,4.00,129,89,0.00,0.00,0,1549,3,26.90
13,104,4.00,151,86,0.00,0.00,0,1544,3,26.13
72,103,3.10,146,95,0.00,0.00,0,1527,3,26.10
0,102,2.40,187,114,0.00,0.00,0,1484,3,25.99
37,102,2.00,201,118,0.00,0.00,0,1443,3,25.92
55,101,1.90,182,121,0.00,0.00,0,1430,3,25.99
56,101,1.90,191,117,0.00,0.00,0,1425,3,25.14
42,101,1.90,189,115,0.00,0.00,0,1411,3,24.89
87,101,1.90,190,119,0.00,0.00,0,1403,3,24.95
