RPM,Bar,MAP,Temp,TPS,Voltage,MPH,EPCPSI,controlslocked,EPCPWM,Gear,TCC,Fuel,Oil
1560,100.0,52.0,188.5,13.8,12.9,23,65,0,77,3,0,8,71
1560,100.0,52.0,188.5,13.8,12.9,23,65,0,77,3,0,8,71
1559,100.0,50.8,188.7,14.2,12.8,23,39,0,63,3,0,8,73
1559,100.0,50.8,188.7,14.2,12.8,23,39,0,63,3,0,8,73
1559,100.0,50.8,188.7,14.2,12.8,23,39,0,63,3,0,8,73
1559,100.0,50.8,188.7,14.2,12.8,23,39,0,63,3,0,8,73
1554,100.0,51.5,188.6,13.7,12.8,23,42,0,64,3,0,8,72
1554,100.0,51.5,188.6,13.7,12.8,23,42,0,64,3,0,8,72
1554,100.0,51.5,188.6,13.7,12.8,23,42,0,64,3,0,8,72
1554,100.0,51.5,188.6,13.7,12.8,23,42,0,64,3,0,8,72
1561,100.0,52.0,188.8,14.1,12.8,23,36,0,65,3,0,8,74
1561,100.0,52.0,188.8,14.1,12.8,23,36,0,65,3,0,8,74
1561,100.0,52.0,188.8,14.1,12.8,23,36,0,65,3,0,8,74
1561,100.0,52.0,188.8,14.1,12.8,23,36,0,65,3,0,8,74
1557,100.0,51.8,189.0,13.9,12.8,23,49,0,67,3,0,8,73
1557,100.0,51.8,189.0,13.9,12.8,23,49,0,67,3,0,8,73
1557,100.0,51.8,189.0,13.9,12.8,23,49,0,67,3,0,8,73
1557,100.0,51.8,189.0,13.9,12.8,23,49,0,67,3,0,8,73
1555,100.0,52.2,188.7,14.0,12.6,23,60,0,77,3,0,8,72
1555,100.0,52.2,188.7,14.0,12.6,23,60,0,77,3,0,8,72
1555,100.0,52.2,188.7,14.0,12.6,23,60,0,77,3,0,8,72
1555,100.0,52.2,188.7,14.0,12.6,23,60,0,77,3,0,8,72
1557,100.0,50.5,188.6,13.9,12.7,23,53,0,71,3,0,8,73
1557,100.0,50.5,188.6,13.9,12.7,23,53,0,71,3,0,8,73
1557,100.0,50.5,188.6,13.9,12.7,23,53,0,71,3,0,8,73
1557,100.0,50.5,188.6,13.9,12.7,23,53,0,71,3,0,8,73
1550,100.0,51.2,188.8,13.9,12.8,23,59,0,77,3,0,8,73
1550,100.0,51.2,188.8,13.9,12.8,23,59,0,77,3,0,8,73
1550,100.0,51.2,188.8,13.9,12.8,23,59,0,77,3,0,8,73
1547,100.0,50.6,188.8,13.9,12.8,23,59,0,77,3,0,8,73
